NUMBER	X_IMAGE	Y_IMAGE	RA	DEC	A_IMAGE	B_IMAGE	THETA_IMAGE	ELLIPTICITY	FLUX_AUTO	FLUXERR_AUTO	MAG_AUTO	MAGERR_AUTO	KRON_RADIUS	R_EFF_PIX	R_EFF_ARCSEC	MU_EFF	SNR_TOTAL	FLUX_APER_5	FLUX_APER_10	FLUX_APER_20	FLUX_APER_40	SERSIC_N	SERSIC_RE	SERSIC_CHI2	MAG_SERSIC	MU_EFF_SERSIC	LSBG_CONF	LSBG_GRADE	FLAGS	LABEL	MATCH_INFO
355	6478.245	5769.404	21.2666966	-1.1986701	11.005	4.988	64.444	0.5468	1.241547e+03	1.841802e+02	22.2651	0.1611	3.500	10.650	2.8010	27.0239	6.741	9.615299e+01	3.729719e+02	5.941976e+02	8.565553e+02	0.360	3.472	2.852	24.0138	25.4023	0.438	C	0	0	unmatched_603.88
356	3403.194	5773.418	21.4913935	-1.1983787	10.708	4.062	68.213	0.6207	4.036729e+03	1.683350e+02	20.9849	0.0453	3.518	12.797	3.3655	26.9645	23.980	3.948158e+02	5.353900e+02	1.002597e+03	1.353593e+03	0.720	3.128	3.458	23.3301	24.7032	0.571	B	0	0	unmatched_186.10
357	253.860	5801.412	21.7215150	-1.1963165	10.721	5.782	24.890	0.4607	5.856019e+03	2.269644e+02	20.5810	0.0421	3.500	10.023	2.6360	26.0994	25.801	2.877386e+02	7.916556e+02	1.109467e+03	2.862411e+03	0.360	9.076	4.621	22.6596	25.8738	0.585	B	0	0	unmatched_517.45
358	6061.344	5802.265	21.2971600	-1.1962708	12.127	3.685	27.073	0.6962	3.442334e+03	2.017574e+02	21.1579	0.0636	4.217	11.710	3.0797	27.6999	17.062	2.944792e+01	2.128687e+02	3.036454e+02	8.952620e+02	NaN	NaN	NaN	NaN	NaN	0.328	C	0	0	unmatched_553.30
359	905.094	5882.992	21.6739293	-1.1903619	9.021	3.726	-49.399	0.5870	1.595071e+03	1.490991e+02	21.9930	0.1015	3.500	10.241	2.6934	27.0347	10.698	7.618162e+01	3.393538e+02	5.887316e+02	1.590922e+03	NaN	NaN	NaN	NaN	NaN	0.385	C	0	0	unmatched_380.92
360	2734.808	5887.478	21.5402324	-1.1900441	9.693	7.568	-26.233	0.2193	6.414554e+02	2.290886e+02	22.9821	0.3878	3.500	10.151	2.6696	27.2807	2.800	2.366073e+01	2.597123e+02	6.252906e+02	4.306219e+02	0.360	15.560	3.391	22.6654	27.4519	0.442	C	0	0	unmatched_273.69
361	4611.088	5889.122	21.4031314	-1.1899275	12.659	4.699	36.919	0.6288	1.767828e+03	2.237974e+02	21.8814	0.1374	3.500	10.434	2.7441	27.2164	7.899	3.314157e+01	2.700423e+02	4.854103e+02	5.633603e+02	0.360	13.374	4.061	23.3156	26.7591	0.394	C	0	0	unmatched_340.54
362	2355.035	5892.126	21.5679825	-1.1897031	8.416	6.749	-4.090	0.1981	6.195111e+03	2.403808e+02	20.5199	0.0421	4.191	11.738	3.0870	26.9392	25.772	1.235526e+02	4.289408e+02	6.746813e+02	2.259426e+03	0.360	8.493	4.983	23.3797	26.8805	0.604	B	0	0	unmatched_228.09
363	815.503	5893.966	21.6804755	-1.1895596	9.393	7.108	-10.267	0.2432	1.908091e+03	2.119171e+02	21.7985	0.1206	3.500	11.739	3.0874	27.3321	9.004	6.399958e+01	2.753716e+02	5.911106e+02	8.517484e+02	NaN	NaN	NaN	NaN	NaN	0.421	C	0	0	unmatched_402.13
364	2564.081	5924.072	21.5527073	-1.1873701	17.594	6.208	50.951	0.6471	3.768545e+03	2.649324e+02	21.0596	0.0763	3.500	26.889	7.0717	27.4982	14.225	5.693168e+01	2.884449e+02	1.281673e+03	2.552640e+03	0.360	24.205	3.117	22.1162	26.5044	0.464	C	0	0	unmatched_257.25
365	3187.428	5933.623	21.5071591	-1.1866745	11.716	4.787	7.707	0.5914	2.084949e+03	1.965173e+02	21.7023	0.1023	3.500	10.413	2.7387	26.6017	10.609	9.705780e+01	5.112095e+02	8.112288e+02	1.460087e+03	3.326	58.526	3.402	21.1882	28.0291	0.493	C	0	0	unmatched_245.68
366	1366.501	5936.959	21.6402142	-1.1864225	10.257	5.370	89.309	0.4765	1.264546e+03	1.996973e+02	22.2452	0.1715	3.500	11.195	2.9443	27.4315	6.332	3.462669e+01	2.254152e+02	5.598263e+02	4.014158e+02	0.360	16.338	3.588	23.0795	27.0884	0.397	C	0	0	unmatched_299.87
367	715.890	5948.486	21.6877536	-1.1855759	10.878	5.354	21.299	0.5079	1.232639e+03	2.002025e+02	22.2729	0.1763	3.500	9.692	2.5490	27.3948	6.157	5.018731e+01	2.441430e+02	5.011833e+02	5.600046e+02	0.360	12.064	3.309	23.7094	27.4422	0.391	C	0	0	unmatched_431.92
368	2552.496	5957.382	21.5535536	-1.1849366	9.850	3.426	32.623	0.6522	6.935497e+02	1.465824e+02	22.8973	0.2295	3.500	21.312	5.6051	28.4514	4.731	1.364976e+01	2.433793e+02	3.612668e+02	1.675446e+03	0.360	12.606	3.409	23.8895	27.1241	0.261	D	0	0	unmatched_263.60
369	4971.872	5968.636	21.3767687	-1.1841185	10.460	4.382	-17.716	0.5810	1.568491e+03	1.843871e+02	22.0113	0.1276	3.500	11.313	2.9753	27.5789	8.507	3.181431e+01	1.816131e+02	4.446343e+02	7.716146e+02	0.360	13.897	3.520	23.6406	26.9080	0.375	C	0	0	unmatched_430.21
370	5576.029	6008.995	21.3326228	-1.1811694	11.132	4.065	36.733	0.6349	3.097632e+03	1.787586e+02	21.2724	0.0627	3.500	10.660	2.8036	26.4740	17.329	1.129005e+02	5.833443e+02	9.253059e+02	1.839997e+03	0.360	12.443	3.823	22.7391	25.9426	0.553	B	0	0	unmatched_561.30
371	6265.656	6032.296	21.2822316	-1.1794654	7.457	3.407	-15.513	0.5431	2.223783e+03	1.277585e+02	21.6323	0.0624	3.500	14.757	3.8812	27.0894	17.406	3.804733e+02	5.305182e+02	1.250635e+03	1.716688e+03	0.640	3.829	5.083	23.3189	24.9800	0.543	B	0	0	unmatched_631.91
372	2278.648	6060.874	21.5735632	-1.1773750	5.609	2.906	1.343	0.4819	1.319039e+03	1.093664e+02	22.1994	0.0900	3.500	12.900	3.3927	26.8683	12.061	3.915432e+02	5.146734e+02	1.464941e+03	1.567198e+03	0.360	14.140	4.886	22.0206	25.0245	0.496	C	0	0	unmatched_266.54
373	2878.661	6071.472	21.5297203	-1.1766031	9.102	3.255	31.778	0.6424	1.943252e+03	1.468803e+02	21.7787	0.0821	3.500	18.430	4.8471	27.9392	13.230	1.423137e+02	2.784045e+02	5.360145e+02	2.074005e+03	NaN	NaN	NaN	NaN	NaN	0.298	D	0	0	unmatched_318.72
374	2069.910	6082.084	21.5888155	-1.1758245	11.829	7.680	67.874	0.3508	2.876813e+03	2.487820e+02	21.3527	0.0939	3.500	9.845	2.5892	26.5942	11.564	1.420889e+02	4.958574e+02	6.910817e+02	9.288228e+02	0.476	4.790	3.196	23.3249	25.3927	0.595	B	0	0	unmatched_268.02
375	6277.947	6113.303	21.2813338	-1.1735475	8.515	2.767	55.909	0.6751	4.755959e+03	1.234703e+02	20.8069	0.0282	3.500	12.485	3.2835	27.3168	38.519	2.875834e+02	3.773874e+02	6.972620e+02	8.253638e+02	NaN	NaN	NaN	NaN	NaN	0.414	C	0	0	unmatched_652.18
376	5023.214	6053.139	21.3730172	-1.1779452	18.076	16.773	71.876	0.0721	2.427756e+04	4.691799e+02	19.0370	0.0210	3.500	15.325	4.0305	24.5790	51.745	1.710486e+03	4.668962e+03	9.498040e+03	1.384774e+04	1.061	16.111	3.762	19.6565	24.4878	0.558	B	0	0	unmatched_453.67
377	4505.960	6138.071	21.4108132	-1.1717406	11.149	4.622	-27.461	0.5855	9.843669e+04	2.236384e+02	17.5171	0.0025	3.859	19.061	5.0131	28.0464	440.160	2.252095e+01	1.952689e+02	5.144343e+02	1.455000e+03	NaN	NaN	NaN	NaN	NaN	0.360	C	0	0	unmatched_365.60
378	5290.092	6127.490	21.3535165	-1.1725133	14.970	7.182	82.002	0.5202	3.236367e+03	2.806633e+02	21.2249	0.0942	3.500	28.301	7.4430	27.7292	11.531	2.858437e+02	4.738990e+02	7.010824e+02	2.543250e+03	NaN	NaN	NaN	NaN	NaN	0.378	C	0	0	unmatched_523.34
379	2502.302	6156.353	21.5572204	-1.1704008	9.727	3.850	24.183	0.6042	2.338679e+03	1.692792e+02	21.5776	0.0786	3.500	11.706	3.0786	27.1422	13.816	7.235284e+01	3.374994e+02	6.562263e+02	1.547173e+03	0.360	19.638	4.287	23.0488	26.8993	0.454	C	0	0	unmatched_306.36
380	24.460	6158.835	21.7382731	-1.1702036	10.833	10.000	85.081	0.0768	2.632310e+03	2.274513e+02	21.4492	0.0938	3.500	11.927	3.1367	26.6482	11.573	2.428189e+02	6.155682e+02	1.064977e+03	1.340923e+03	0.800	4.069	3.313	23.0939	24.9289	0.660	B	16	0	unmatched_617.05
381	2912.002	6182.674	21.5272836	-1.1684794	12.079	5.155	-61.730	0.5732	4.176324e+03	2.058787e+02	20.9480	0.0535	3.500	12.332	3.2433	26.7167	20.285	1.080728e+02	4.968775e+02	8.422523e+02	1.564550e+03	0.360	6.605	3.303	22.9744	25.7026	0.568	B	0	0	unmatched_338.09
382	2691.154	6220.478	21.5434208	-1.1657170	6.517	4.216	-52.691	0.3531	5.109316e+03	1.420211e+02	20.7291	0.0302	3.500	13.866	3.6468	25.9002	35.976	8.410175e+02	1.346824e+03	3.753823e+03	4.961140e+03	NaN	NaN	NaN	NaN	NaN	0.571	B	0	0	unmatched_341.81
383	3625.612	6249.074	21.4751400	-1.1636305	8.098	5.207	-13.407	0.3570	4.404528e+03	1.702251e+02	20.8903	0.0420	3.500	10.223	2.6886	26.6418	25.875	3.311766e+02	4.908310e+02	9.600417e+02	1.426287e+03	NaN	NaN	NaN	NaN	NaN	0.579	B	0	0	unmatched_304.63
384	6472.664	6248.405	21.2671064	-1.1636771	8.034	3.079	-31.330	0.6168	1.592269e+03	1.287520e+02	21.9950	0.0878	3.500	10.659	2.8034	27.6184	12.367	1.277731e+02	2.035913e+02	3.529329e+02	7.314083e+02	NaN	NaN	NaN	NaN	NaN	0.314	C	0	0	unmatched_708.23
385	5928.435	6232.065	21.3068730	-1.1648724	10.028	3.832	60.275	0.6179	4.091929e+03	1.582514e+02	20.9702	0.0420	3.500	14.836	3.9019	26.3162	25.857	8.010112e+02	9.653598e+02	2.312163e+03	3.151856e+03	3.102	14.323	4.425	21.3273	25.7108	0.594	B	0	0	unmatched_643.54
386	1236.007	6236.321	21.6497470	-1.1645522	12.035	5.517	42.388	0.5416	8.303742e+03	2.496209e+02	20.2018	0.0326	4.062	11.779	3.0978	27.1411	33.265	1.584283e+02	3.760698e+02	6.531191e+02	9.783556e+02	NaN	NaN	NaN	NaN	NaN	0.469	C	0	0	unmatched_383.02
387	2949.629	6280.201	21.5245338	-1.1613548	16.285	7.640	35.467	0.5309	6.939276e+03	2.876435e+02	20.3967	0.0450	3.500	10.779	2.8348	25.3903	24.125	5.777446e+02	1.614594e+03	2.659585e+03	3.280754e+03	0.682	7.213	4.597	21.5544	24.8418	0.533	B	0	0	unmatched_355.31
388	66.847	6301.348	21.7351746	-1.1597930	9.915	6.681	-72.662	0.3262	3.080882e+03	2.179540e+02	21.2783	0.0768	3.500	11.403	2.9990	27.3690	14.135	3.955300e+01	2.236904e+02	6.016095e+02	7.397613e+02	0.360	16.376	3.244	23.3662	27.0549	0.499	C	0	0	unmatched_625.87
389	2824.375	6322.410	21.5336859	-1.1582708	10.299	4.667	-67.583	0.5468	2.445359e+03	1.993354e+02	21.5291	0.0885	3.882	18.789	4.9415	27.8099	12.268	1.172127e+01	2.651234e+02	5.879271e+02	2.128169e+03	0.360	30.631	3.994	22.3009	27.1385	0.401	C	0	0	unmatched_381.47
390	2798.569	6308.771	21.5355716	-1.1592671	12.506	5.026	89.034	0.5981	1.596015e+03	2.060778e+02	21.9924	0.1402	3.500	13.397	3.5235	26.8666	7.745	7.323849e+01	4.852108e+02	8.350900e+02	1.462346e+03	0.772	5.086	3.690	23.1212	25.3309	0.495	C	0	0	unmatched_375.63
391	6297.974	6331.820	21.2798713	-1.1575839	11.842	4.122	-82.603	0.6520	1.640574e+03	1.736826e+02	21.9625	0.1149	3.500	10.965	2.8837	27.5710	9.446	2.705680e+01	1.958298e+02	5.088949e+02	5.127657e+02	0.360	14.461	2.940	23.5520	26.8725	0.372	C	0	0	unmatched_705.69
392	1841.630	6360.591	21.6054940	-1.1554774	11.972	7.603	-29.377	0.3649	7.000123e+03	2.545617e+02	20.3872	0.0395	3.500	12.026	3.1630	26.1318	27.499	2.461348e+02	8.912560e+02	1.554080e+03	3.124319e+03	0.502	4.677	4.928	22.4706	24.6671	0.655	B	0	0	unmatched_347.82
393	1301.842	6405.611	21.6449352	-1.1521854	9.408	4.088	-60.322	0.5655	3.542887e+03	1.602083e+02	21.1266	0.0491	3.500	10.469	2.7533	26.4310	22.114	4.633060e+02	6.229126e+02	1.228517e+03	1.424562e+03	1.535	9.594	3.386	22.3234	25.6835	0.638	B	0	0	unmatched_410.60
394	2450.136	6417.223	21.5610308	-1.1513430	5.454	2.960	-86.886	0.4573	1.625707e+03	1.102130e+02	21.9724	0.0736	3.500	11.164	2.9362	26.7544	14.751	3.884101e+02	4.909715e+02	1.372563e+03	1.687955e+03	0.462	3.084	4.507	23.3932	24.8819	0.564	B	0	0	unmatched_367.81
395	3175.716	6422.332	21.5080133	-1.1509723	9.011	6.159	30.686	0.3165	1.917451e+03	1.929438e+02	21.7932	0.1093	3.500	9.782	2.5726	27.2447	9.938	3.064533e+01	2.804644e+02	5.354767e+02	7.078032e+02	0.360	12.419	3.440	23.4130	27.0732	0.477	C	0	0	unmatched_366.73
396	4905.682	6436.421	21.3816056	-1.1499449	14.210	4.721	-19.525	0.6678	9.378596e+02	2.203047e+02	22.5697	0.2550	3.500	13.589	3.5738	27.2055	4.257	3.312147e+02	4.326596e+02	7.548487e+02	9.644284e+02	0.440	3.457	3.361	23.5302	24.9141	0.400	C	0	0	unmatched_494.62
397	3847.883	6424.275	21.4588985	-1.1508317	9.128	7.581	-8.698	0.1696	3.290014e+03	2.138690e+02	21.2070	0.0706	3.500	10.832	2.8488	27.0352	15.383	1.142722e+02	3.533946e+02	6.610311e+02	1.445592e+03	0.573	2.910	3.208	23.9111	25.1570	0.621	B	0	0	unmatched_357.01
398	2298.944	6451.460	21.5720781	-1.1488412	12.275	4.238	-20.837	0.6548	7.442731e+02	1.883150e+02	22.8207	0.2747	3.500	9.907	2.6056	27.7315	3.952	4.316533e+01	1.756828e+02	3.793376e+02	2.838720e+02	0.360	14.083	3.315	23.4959	27.0188	0.305	C	128	0	unmatched_368.81
399	2266.110	6494.637	21.5744770	-1.1456869	8.323	4.933	-51.002	0.4073	9.298164e+02	1.640964e+02	22.5790	0.1916	3.500	9.962	2.6201	27.2669	5.666	6.212745e+01	2.695183e+02	4.660028e+02	5.007090e+02	0.360	11.277	3.034	23.2414	27.0297	0.428	C	0	0	unmatched_378.96
400	3675.442	6487.457	21.4714985	-1.1462158	15.516	8.098	66.849	0.4781	1.192144e+04	2.937003e+02	19.8092	0.0267	3.500	10.912	2.8697	24.2845	40.590	1.739760e+03	4.542649e+03	7.991747e+03	9.751242e+03	0.834	12.479	3.087	20.0956	24.1151	0.431	C	0	0	unmatched_367.86
401	36.989	6526.866	21.7373538	-1.1433180	9.737	6.094	47.368	0.3741	2.423137e+03	1.804848e+02	21.5391	0.0809	3.500	11.570	3.0429	26.3963	13.426	3.164419e+02	6.588176e+02	1.591399e+03	1.603662e+03	0.360	10.531	3.207	22.2963	25.3677	0.597	B	16	0	unmatched_665.06
402	1532.737	6529.013	21.6280632	-1.1431718	7.579	4.093	54.585	0.4599	1.310965e+03	1.403846e+02	22.2060	0.1163	3.500	9.601	2.5250	26.7211	9.338	1.616694e+02	4.296763e+02	6.689695e+02	1.246736e+03	1.431	10.464	2.837	22.8357	26.5333	0.550	B	0	0	unmatched_413.25
403	2596.584	6537.208	21.5503295	-1.1425782	7.249	3.000	-42.401	0.5861	1.300996e+03	1.153113e+02	22.2143	0.0962	3.500	11.646	3.0629	27.0304	11.282	2.830450e+02	4.052108e+02	8.716202e+02	1.166123e+03	0.523	4.725	2.822	23.4948	25.3740	0.508	B	0	0	unmatched_409.07
404	381.610	6538.905	21.7121733	-1.1424413	11.711	6.684	-38.893	0.4292	4.415818e+03	2.806041e+02	20.8875	0.0690	3.710	13.568	3.5684	27.4569	15.737	5.525020e+01	2.844732e+02	5.793891e+02	1.082889e+03	NaN	NaN	NaN	NaN	NaN	0.423	C	0	0	unmatched_595.52
405	689.601	6529.096	21.6896693	-1.1431603	13.375	6.727	30.129	0.4971	8.284359e+03	2.617586e+02	20.2044	0.0343	3.500	9.868	2.5953	24.5739	31.649	1.393440e+03	3.172250e+03	4.986906e+03	6.252439e+03	0.857	11.903	3.426	20.6547	24.2657	0.454	C	0	0	unmatched_534.82
406	264.474	6545.203	21.7207320	-1.1419803	12.975	7.566	58.463	0.4169	4.606241e+03	2.780370e+02	20.8416	0.0655	3.500	14.460	3.8029	27.2342	16.567	2.729559e+01	2.184687e+02	9.068128e+02	1.178804e+03	0.360	19.826	6.525	22.9489	27.5253	0.490	C	0	0	unmatched_620.26
407	3591.324	6557.731	21.4776447	-1.1410818	9.542	5.540	-28.710	0.4194	1.524160e+03	1.875397e+02	22.0424	0.1336	3.500	11.025	2.8995	27.1383	8.127	1.169608e+02	3.224296e+02	6.020005e+02	8.150378e+02	0.394	6.256	2.845	23.5983	25.7633	0.474	C	0	0	unmatched_385.67
408	1357.369	6570.335	21.6408767	-1.1401521	12.338	5.337	-16.274	0.5674	3.584213e+03	2.145278e+02	21.1140	0.0650	3.500	11.550	3.0375	26.4480	16.707	4.714622e+02	6.947203e+02	1.026517e+03	1.490984e+03	0.568	4.199	3.811	22.9673	24.8212	0.610	B	0	0	unmatched_441.74
409	2979.209	6528.376	21.5223715	-1.1432248	11.155	6.383	29.116	0.4278	6.313351e+03	2.120972e+02	20.4994	0.0365	3.500	12.584	3.3096	26.4331	29.766	3.843327e+02	7.869268e+02	1.192980e+03	2.421380e+03	0.720	7.346	6.775	22.7394	25.4602	0.640	B	0	0	unmatched_410.80
410	1465.163	6572.919	21.6330004	-1.1399639	14.898	9.584	87.018	0.3567	6.912202e+03	3.239222e+02	20.4010	0.0509	3.500	19.808	5.2094	27.6171	21.339	1.276665e+01	3.280803e+02	7.717349e+02	1.518472e+03	0.360	8.182	3.897	23.8006	25.9876	0.526	B	0	0	unmatched_430.60
411	765.508	6600.389	21.6841223	-1.1379526	15.022	5.802	-58.860	0.6138	2.381783e+03	2.683173e+02	21.5577	0.1223	3.500	10.819	2.8454	26.6078	8.877	1.850133e+02	5.242745e+02	1.046473e+03	1.134363e+03	0.485	6.645	4.805	22.7952	25.7547	0.506	B	0	0	unmatched_535.20
412	1430.701	6629.103	21.6355180	-1.1358593	13.076	4.120	-49.327	0.6849	1.496109e+04	2.099440e+02	19.5626	0.0152	3.500	13.471	3.5430	26.9164	71.262	8.104391e+01	5.489115e+02	8.736982e+02	1.389897e+03	0.557	2.483	3.980	23.2244	24.1704	0.560	B	0	0	unmatched_447.74
413	3536.257	6663.897	21.4816682	-1.1333259	11.428	7.235	58.268	0.3670	2.021672e+03	2.733652e+02	21.7357	0.1468	3.500	13.320	3.5030	27.4569	7.395	-2.708278e+01	6.792017e+01	5.920175e+02	1.101007e+03	NaN	NaN	NaN	NaN	NaN	0.364	C	0	0	unmatched_413.85
414	1799.528	6719.279	21.6085680	-1.1292737	8.354	4.033	-40.449	0.5173	1.616545e+03	1.821638e+02	21.9785	0.1223	3.500	10.865	2.8574	27.2345	8.874	1.644752e+02	3.042285e+02	4.394808e+02	1.723328e+03	0.745	4.978	5.287	23.8309	25.6416	0.454	C	0	0	unmatched_442.57
415	302.671	6706.469	21.7179395	-1.1301997	13.299	5.594	44.506	0.5794	5.519211e+03	2.730680e+02	20.6453	0.0537	3.500	13.920	3.6611	25.8876	20.212	5.356781e+02	1.022484e+03	3.050513e+03	3.728537e+03	0.374	12.316	5.821	21.5073	24.7339	0.539	B	0	0	unmatched_640.30
416	6167.911	6738.428	21.2893763	-1.1278800	11.919	4.373	-15.787	0.6331	7.275239e+02	2.008863e+02	22.8454	0.2998	3.500	10.725	2.8207	27.7163	3.622	2.096613e+01	1.551072e+02	4.351066e+02	3.315478e+02	0.308	2.672	3.496	24.0124	23.9787	0.294	D	0	0	unmatched_790.25
417	5137.621	6793.076	21.3646583	-1.1238897	9.974	5.990	-51.286	0.3994	3.159941e+03	2.361731e+02	21.2508	0.0811	3.500	19.436	5.1116	27.9039	13.380	5.387478e+01	2.464202e+02	6.033639e+02	1.743359e+03	0.360	6.109	5.517	23.2020	24.2907	0.417	C	16	0	unmatched_604.74
418	3135.217	6800.482	21.5109712	-1.1233468	10.969	3.296	-45.339	0.6995	1.807140e+03	1.724940e+02	21.8575	0.1036	3.500	18.261	4.8027	28.0269	10.477	1.098585e+02	3.708621e+02	5.018520e+02	1.370549e+03	0.360	2.559	4.457	24.1983	25.2783	0.323	C	16	0	unmatched_465.24
419	4167.197	6821.426	21.4355659	-1.1218187	9.481	2.850	4.031	0.6994	1.026627e+03	1.588735e+02	22.4715	0.1680	3.500	10.733	2.8228	27.5243	6.462	7.072077e+01	2.081647e+02	3.215189e+02	5.360361e+02	0.360	17.335	4.401	23.1440	26.5859	0.330	C	16	0	unmatched_479.57
420	4237.036	6807.030	21.4304629	-1.1228704	12.134	9.050	-52.325	0.2541	1.154257e+03	2.754498e+02	22.3442	0.2591	3.500	10.591	2.7853	26.2690	4.190	4.339660e+02	7.289777e+02	1.189156e+03	1.425496e+03	1.458	8.440	4.421	22.1968	25.7631	0.577	B	16	0	unmatched_482.14
421	5449.961	6818.918	21.3418361	-1.1220015	9.725	7.931	72.793	0.1845	1.101107e+04	2.272671e+02	19.8954	0.0224	3.500	10.570	2.7799	25.5271	48.450	4.891821e+02	1.405069e+03	2.790488e+03	3.181035e+03	0.550	10.395	6.894	21.5549	25.4431	0.599	B	16	0	unmatched_667.38
422	4566.344	20.212	21.4064018	-1.6186819	21.653	7.242	-86.415	0.6655	6.750776e+03	2.870069e+02	20.4266	0.0462	3.500	23.456	6.1688	27.6694	23.521	2.128882e+02	5.845991e+02	8.908597e+02	1.892031e+03	0.360	8.330	7.843	23.2927	25.8219	0.425	C	16	0	unmatched_456.79
423	3057.952	38.384	21.5166413	-1.6173512	26.445	9.274	-11.677	0.6493	9.407265e+03	4.090847e+02	20.0663	0.0472	3.500	28.643	7.5330	28.1036	22.996	-1.721029e+01	1.239436e+02	7.394783e+02	1.244492e+03	0.360	22.392	4.167	22.7909	26.4652	0.431	C	16	0	unmatched_570.38
424	1473.688	46.042	21.6324247	-1.6167819	26.386	7.969	-51.239	0.6980	6.598307e+03	3.472983e+02	20.4514	0.0571	3.573	38.302	10.0733	28.4228	18.999	3.308877e+01	8.821724e+01	3.094131e+02	1.830713e+03	0.477	81.986	5.239	21.3862	26.7976	0.429	C	16	0	unmatched_602.36
425	4319.991	107.408	21.4244063	-1.6123117	7.480	5.418	39.904	0.2756	5.022314e+03	1.749121e+02	20.7477	0.0378	3.500	12.136	3.1918	26.4946	28.713	2.923763e+02	6.829932e+02	1.391842e+03	2.601951e+03	NaN	NaN	NaN	NaN	NaN	0.626	B	0	0	unmatched_456.55
426	2549.240	101.058	21.5538196	-1.6127701	9.015	3.979	-56.405	0.5586	9.284623e+03	2.263573e+02	20.0806	0.0265	4.724	21.115	5.5532	26.2175	41.018	3.241153e+02	4.610198e+02	2.063583e+03	6.961021e+03	NaN	NaN	NaN	NaN	NaN	0.588	B	0	0	unmatched_531.48
427	1432.845	120.764	21.6354092	-1.6113228	18.265	15.496	87.230	0.1516	1.310844e+04	4.845078e+02	19.7061	0.0401	3.791	31.112	8.1825	28.0912	27.055	1.979739e+02	4.610242e+02	7.075501e+02	1.720866e+03	NaN	NaN	NaN	NaN	NaN	0.506	B	16	0	unmatched_589.42
428	2900.915	191.087	21.5281175	-1.6061949	11.549	6.269	40.428	0.4572	3.922286e+03	2.515500e+02	21.0162	0.0696	4.032	14.762	3.8825	27.4746	15.592	2.673664e+02	3.583150e+02	5.870267e+02	1.303018e+03	NaN	NaN	NaN	NaN	NaN	0.416	C	0	0	unmatched_520.98
429	631.217	231.897	21.6939931	-1.6031966	7.793	3.794	-21.645	0.5131	1.615900e+03	1.415762e+02	21.9790	0.0951	3.500	14.868	3.9104	27.4103	11.414	1.649367e+02	4.203258e+02	8.591016e+02	1.273495e+03	0.360	8.963	3.518	23.3266	25.9964	0.441	C	0	0	unmatched_643.07
430	3413.969	258.960	21.4906215	-1.6012384	8.102	5.279	52.705	0.3484	2.444098e+03	1.901488e+02	21.5297	0.0845	3.764	13.454	3.5384	27.2570	12.854	2.147470e+02	3.684156e+02	7.084317e+02	2.462439e+03	0.360	31.894	4.969	21.5474	25.6322	0.486	C	0	0	unmatched_551.42
431	5938.741	233.271	21.3061019	-1.6031148	9.721	3.624	-67.431	0.6272	2.824754e+03	1.652029e+02	21.3725	0.0635	3.500	19.842	5.2185	27.8586	17.099	3.133465e+02	3.565231e+02	6.172799e+02	2.478495e+03	NaN	NaN	NaN	NaN	NaN	0.352	C	0	0	unmatched_455.42
432	3476.878	334.093	21.4860237	-1.5957497	17.592	7.131	30.949	0.5947	7.100167e+03	4.033786e+02	20.3718	0.0617	4.994	11.796	3.1023	28.0340	17.602	-8.589859e+00	7.615119e+01	4.098703e+02	3.413465e+02	0.360	15.115	4.120	23.6738	27.6856	0.382	C	0	0	unmatched_540.70
433	4954.496	274.602	21.3780342	-1.6000974	30.963	9.714	83.771	0.6863	5.959242e+03	4.567657e+02	20.5620	0.0832	3.500	38.780	10.1992	28.4194	13.047	1.922624e+02	4.370356e+02	4.913395e+02	1.562462e+03	NaN	NaN	NaN	NaN	NaN	0.292	D	0	0	unmatched_374.71
434	3463.317	389.620	21.4870146	-1.5916932	12.412	10.731	59.780	0.1354	1.515475e+03	2.894700e+02	22.0486	0.2074	3.500	14.302	3.7615	27.9412	5.235	1.230773e+01	5.936420e+01	4.859123e+02	6.565436e+02	0.360	8.742	3.125	24.9061	28.2676	0.416	C	0	0	unmatched_527.62
435	5168.869	405.104	21.3623672	-1.5905634	18.724	9.414	-56.200	0.4972	1.992235e+04	3.899125e+02	19.2516	0.0212	3.708	23.364	6.1447	28.0163	51.094	2.163840e+02	4.435701e+02	6.486791e+02	1.035384e+03	0.360	5.250	3.751	23.6792	25.5415	0.462	C	0	0	unmatched_342.44
436	6569.334	420.241	21.2600168	-1.5894531	26.810	9.613	28.813	0.6414	2.066812e+05	7.053280e+02	16.7117	0.0037	5.296	32.196	8.4675	27.8655	293.028	2.227505e+02	3.540504e+02	7.441998e+02	1.719938e+03	NaN	NaN	NaN	NaN	NaN	0.417	C	16	0	unmatched_529.16
437	1868.998	390.237	21.6035321	-1.5916400	15.999	8.331	72.413	0.4793	5.967251e+03	2.837457e+02	20.5606	0.0516	3.500	26.547	6.9818	27.6633	21.030	1.886109e+02	5.777511e+02	1.077686e+03	1.785229e+03	0.360	13.016	3.135	22.6109	26.2029	0.522	B	0	0	unmatched_479.48
438	1819.332	436.363	21.6071615	-1.5882700	7.539	5.532	76.015	0.2663	2.029588e+03	1.603113e+02	21.7315	0.0858	3.500	14.543	3.8247	27.3723	12.660	1.978732e+02	4.390471e+02	7.232568e+02	1.625700e+03	0.360	21.296	3.400	22.2773	26.2685	0.508	B	0	0	unmatched_472.40
