NUMBER	X_IMAGE	Y_IMAGE	RA	DEC	A_IMAGE	B_IMAGE	THETA_IMAGE	ELLIPTICITY	FLUX_AUTO	FLUXERR_AUTO	MAG_AUTO	MAGERR_AUTO	KRON_RADIUS	R_EFF_PIX	R_EFF_ARCSEC	MU_EFF	SNR_TOTAL	FLUX_APER_5	FLUX_APER_10	FLUX_APER_20	FLUX_APER_40	SERSIC_N	SERSIC_RE	SERSIC_CHI2	MAG_SERSIC	MU_EFF_SERSIC	LSBG_CONF	LSBG_GRADE	FLAGS	LABEL	MATCH_INFO
323	1350.012	5195.826	21.6414246	-1.2405652	14.303	5.165	6.266	0.6388	1.083329e+04	2.414421e+02	19.9131	0.0242	3.500	17.608	4.6309	25.3871	44.869	2.121143e+03	3.586301e+03	5.025939e+03	8.854263e+03	1.130	7.009	5.246	20.7784	23.7190	0.523	B	0	0	unmatched_200.12
324	1502.986	5256.104	21.6302462	-1.2361626	14.170	6.133	-5.146	0.5672	2.623861e+03	2.410243e+02	21.4526	0.0997	3.500	20.154	5.3004	27.3740	10.886	4.277808e+02	6.326922e+02	9.800460e+02	1.871904e+03	1.826	8.684	3.110	22.3799	25.7741	0.492	C	0	0	unmatched_164.82
325	5105.081	5173.843	21.3670343	-1.2421818	10.948	5.451	-37.758	0.5021	3.522819e+04	2.246529e+02	18.6328	0.0069	3.500	18.781	4.9393	26.7343	156.812	5.823771e+02	1.223207e+03	1.618961e+03	3.907300e+03	0.462	6.752	6.362	22.3601	24.7074	0.600	B	0	0	unmatched_320.08
326	2386.081	5273.867	21.5657171	-1.2348697	18.849	8.342	-88.954	0.5574	4.952338e+03	3.461165e+02	20.7630	0.0759	3.500	17.113	4.5007	27.1772	14.308	2.218968e+01	1.723002e+02	1.182717e+03	1.668989e+03	0.360	24.917	3.878	22.0749	27.0750	0.484	C	0	0	unmatched_93.55
327	1676.286	5299.878	21.6175827	-1.2329658	10.169	4.673	-68.355	0.5404	3.382485e+05	2.185824e+02	16.1769	0.0007	4.139	13.152	3.4589	27.2246	1547.465	7.889789e+01	3.416967e+02	7.308870e+02	1.660793e+03	0.347	1.208	3.487	23.8119	22.8471	0.513	B	0	0	unmatched_127.46
328	4665.646	5304.649	21.3991448	-1.2326260	8.331	3.750	-76.624	0.5498	8.799341e+02	1.758747e+02	22.6389	0.2170	3.500	11.014	2.8967	27.1247	5.003	9.493627e+01	3.297239e+02	4.818988e+02	8.930221e+02	0.360	11.284	4.312	23.4298	26.5885	0.399	C	0	0	unmatched_288.07
329	61.202	5307.337	21.7355974	-1.2324087	14.602	4.935	44.630	0.6620	4.955230e+03	2.094755e+02	20.7623	0.0459	3.500	13.997	3.6813	26.8772	23.655	4.196679e+01	3.919854e+02	8.958230e+02	1.327809e+03	0.339	1.637	5.861	23.0785	22.4845	0.503	B	16	0	unmatched_455.41
330	2196.640	5312.749	21.5795596	-1.2320283	9.650	4.137	14.370	0.5713	3.413639e+03	1.652575e+02	21.1670	0.0526	3.500	16.986	4.4672	27.2027	20.656	3.922716e+02	6.708115e+02	9.114650e+02	2.308289e+03	0.724	40.149	3.347	21.4580	26.3726	0.567	B	0	0	unmatched_70.40
331	2223.409	5319.324	21.5776036	-1.2315481	7.943	5.897	-55.832	0.2577	3.675058e+03	1.808056e+02	21.0868	0.0534	3.500	10.347	2.7214	26.2139	20.326	2.909748e+02	7.365191e+02	1.380070e+03	2.108317e+03	0.360	25.145	3.595	21.8598	26.1505	0.654	B	0	0	unmatched_74.80
332	4599.582	5341.326	21.4039722	-1.2299465	6.548	3.592	-69.251	0.4515	3.899147e+03	1.544247e+02	21.0226	0.0430	3.500	10.381	2.7301	25.5534	25.250	6.103199e+02	1.329849e+03	2.849673e+03	4.340622e+03	0.360	9.599	6.231	21.6617	24.5243	0.509	B	0	0	unmatched_273.21
